epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.601,1.63018,2.54561,1.49647,0.90979,0.03058,0.26649,0.14324,1.62745,3.08445,1.41167,0.00058,0.00058,0.00058
2,346.162,1.61091,1.96511,1.4505,0.69685,0.08361,0.2039,0.09325,1.88215,3.02216,1.69971,0.00115664,0.00115664,0.00115664
3,512.213,1.58708,1.80637,1.43786,0.24071,0.25938,0.16294,0.0664,2.02209,3.22122,2.0722,0.00170951,0.00170951,0.00170951
4,694.853,1.65064,1.86824,1.48678,0.42624,0.34443,0.34905,0.15633,1.7903,3.16848,1.70286,0.0018812,0.0018812,0.0018812
5,853.6,1.52287,1.64127,1.39195,0.30148,0.34545,0.21397,0.09708,1.77196,2.73558,1.75235,0.0018416,0.0018416,0.0018416
6,1015.13,1.52942,1.61744,1.40364,0.56428,0.38852,0.40797,0.20194,1.78837,2.10694,1.71728,0.001802,0.001802,0.001802
7,1175.68,1.53737,1.61824,1.43949,0.60566,0.44848,0.51615,0.26356,1.64035,2.10113,1.56421,0.0017624,0.0017624,0.0017624
8,1337.07,1.49682,1.5012,1.39316,0.60578,0.52424,0.55725,0.29315,1.63994,1.7014,1.5651,0.0017228,0.0017228,0.0017228
9,1506.02,1.49339,1.42091,1.37226,0.67703,0.47273,0.5372,0.2779,1.73771,1.77877,1.58085,0.0016832,0.0016832,0.0016832
10,1675,1.49491,1.48332,1.38333,0.6629,0.49394,0.57293,0.30132,1.57172,1.74043,1.4862,0.0016436,0.0016436,0.0016436
11,1834.62,1.42653,1.41012,1.33013,0.65606,0.53333,0.58816,0.34149,1.51816,1.60232,1.46434,0.001604,0.001604,0.001604
12,1994.76,1.41345,1.29672,1.32829,0.66002,0.57879,0.62015,0.3431,1.54809,1.66891,1.47901,0.0015644,0.0015644,0.0015644
